doc_type	doc_id	num	date_str	description	url_metadata	lang
lk_pmd_press_releases	2025-09-02-ta-ef3a57	ta-ef3a57	2025-09-02	வடக்கில் தெங்கு முக்கோணத்தை முன்னெடுக்கும் ஆரம்ப நிகழ்வு ஜனாதிபதி தலைமையில்…	https://pmd.gov.lk/ta/%e0%ae%9a%e0%af%86%e0%ae%af%e0%af%8d%e0%ae%a4%e0%ae%bf/%e0%ae%b5%e0%ae%9f%e0%ae%95%e0%af%8d%e0%ae%95%e0%ae%bf%e0%ae%b2%e0%af%8d-%e0%ae%a4%e0%af%86%e0%ae%99%e0%af%8d%e0%ae%95%e0%af%81-%e0%ae%ae%e0%af%81%e0%ae%95%e0%af%8d%e0%ae%95%e0%af%8b%e0%ae%a3%e0%ae%a4/	ta
lk_pmd_press_releases	2025-09-02-ta-c05b42	ta-c05b42	2025-09-02	ஜனாதிபதி இன்றும் வடக்கில் பல அபிவிருத்தித் திட்டங்களில் பங்கேற்கவுள்ளார்	https://pmd.gov.lk/ta/%e0%ae%9a%e0%af%86%e0%ae%af%e0%af%8d%e0%ae%a4%e0%ae%bf/%e0%ae%9c%e0%ae%a9%e0%ae%be%e0%ae%a4%e0%ae%bf%e0%ae%aa%e0%ae%a4%e0%ae%bf-%e0%ae%87%e0%ae%a9%e0%af%8d%e0%ae%b1%e0%af%81%e0%ae%ae%e0%af%8d-%e0%ae%b5%e0%ae%9f%e0%ae%95%e0%af%8d%e0%ae%95%e0%ae%bf%e0%ae%b2/	ta
lk_pmd_press_releases	2025-09-02-ta-90e869	ta-90e869	2025-09-02	“Dream Destination” முதல் புகையிரத நிலைய நவீனமயமாக்கல் தல்பேயில் ஆரம்பம்	https://pmd.gov.lk/ta/%e0%ae%9a%e0%af%86%e0%ae%af%e0%af%8d%e0%ae%a4%e0%ae%bf/dream-destination-%e0%ae%ae%e0%af%81%e0%ae%a4%e0%ae%b2%e0%af%8d-%e0%ae%aa%e0%af%81%e0%ae%95%e0%af%88%e0%ae%af%e0%ae%bf%e0%ae%b0%e0%ae%a4-%e0%ae%a8%e0%ae%bf%e0%ae%b2%e0%af%88%e0%ae%af-%e0%ae%a8/	ta
lk_pmd_press_releases	2025-09-02-ta-7d9fe3	ta-7d9fe3	2025-09-02	வடக்கின் முதல் விதை தேங்காய் உற்பத்தி அலகு ஜனாதிபதியின் தலைமையில்…	https://pmd.gov.lk/ta/%e0%ae%9a%e0%af%86%e0%ae%af%e0%af%8d%e0%ae%a4%e0%ae%bf/%e0%ae%b5%e0%ae%9f%e0%ae%95%e0%af%8d%e0%ae%95%e0%ae%bf%e0%ae%a9%e0%af%8d-%e0%ae%ae%e0%af%81%e0%ae%a4%e0%ae%b2%e0%af%8d-%e0%ae%b5%e0%ae%bf%e0%ae%a4%e0%af%88-%e0%ae%a4%e0%af%87%e0%ae%99%e0%af%8d/	ta
lk_pmd_press_releases	2025-09-02-ta-4f46ac	ta-4f46ac	2025-09-02	முல்லைத்தீவில் வட்டுவாகல் பாலத்தின் நிர்மாணப் பணிகள் ஜனாதிபதியின் தலைமையில் ஆரம்பம்	https://pmd.gov.lk/ta/%e0%ae%9a%e0%af%86%e0%ae%af%e0%af%8d%e0%ae%a4%e0%ae%bf/%e0%ae%ae%e0%af%81%e0%ae%b2%e0%af%8d%e0%ae%b2%e0%af%88%e0%ae%a4%e0%af%8d%e0%ae%a4%e0%af%80%e0%ae%b5%e0%ae%bf%e0%ae%b2%e0%af%8d-%e0%ae%b5%e0%ae%9f%e0%af%8d%e0%ae%9f%e0%af%81%e0%ae%b5%e0%ae%be%e0%ae%95/	ta
lk_pmd_press_releases	2025-09-02-si-9b0164	si-9b0164	2025-09-02	“සිහින ගමනාන්තයේ” පළමු දුම්රිය ස්ථානය නවීකරණය තල්පෙන් ඇරඹේ	https://pmd.gov.lk/si/%e0%b6%b4%e0%b7%94%e0%b7%80%e0%b6%ad%e0%b7%8a/%e0%b7%83%e0%b7%92%e0%b7%84%e0%b7%92%e0%b6%b1-%e0%b6%9c%e0%b6%b8%e0%b6%b1%e0%b7%8f%e0%b6%b1%e0%b7%8a%e0%b6%ad%e0%b6%ba%e0%b7%9a-%e0%b6%b4%e0%b7%85%e0%b6%b8%e0%b7%94-%e0%b6%af%e0%b7%94%e0%b6%b8/	si
lk_pmd_press_releases	2025-09-02-si-930040	si-930040	2025-09-02	උතුරේ පළමු බීජ පොල් නිෂ්පාදන ඒකකය ජනපති ප්‍රධානත්වයෙන්…	https://pmd.gov.lk/si/%e0%b6%b4%e0%b7%94%e0%b7%80%e0%b6%ad%e0%b7%8a/%e0%b6%8b%e0%b6%ad%e0%b7%94%e0%b6%bb%e0%b7%9a-%e0%b6%b4%e0%b7%85%e0%b6%b8%e0%b7%94-%e0%b6%b6%e0%b7%93%e0%b6%a2-%e0%b6%b4%e0%b7%9c%e0%b6%bd%e0%b7%8a-%e0%b6%b1%e0%b7%92%e0%b7%82%e0%b7%8a%e0%b6%b4/	si
lk_pmd_press_releases	2025-09-02-si-27bdf3	si-27bdf3	2025-09-02	මුලතිව් වට්ටුවාකල් පාලමේ ඉදිකිරීම් ජනපති ප්‍රධානත්වයෙන් ඇරඹේ	https://pmd.gov.lk/si/%e0%b6%b4%e0%b7%94%e0%b7%80%e0%b6%ad%e0%b7%8a/%e0%b6%b8%e0%b7%94%e0%b6%bd%e0%b6%ad%e0%b7%92%e0%b7%80%e0%b7%8a-%e0%b7%80%e0%b6%a7%e0%b7%8a%e0%b6%a7%e0%b7%94%e0%b7%80%e0%b7%8f%e0%b6%9a%e0%b6%bd%e0%b7%8a-%e0%b6%b4%e0%b7%8f%e0%b6%bd%e0%b6%b8%e0%b7%9a/	si
lk_pmd_press_releases	2025-09-02-si-2363fd	si-2363fd	2025-09-02	ජනපති අදත් උතුරේ සංවර්ධන ව්‍යාපෘති රැසක	https://pmd.gov.lk/si/%e0%b6%b4%e0%b7%94%e0%b7%80%e0%b6%ad%e0%b7%8a/%e0%b6%a2%e0%b6%b1%e0%b6%b4%e0%b6%ad%e0%b7%92-%e0%b6%85%e0%b6%af%e0%b6%ad%e0%b7%8a-%e0%b6%8b%e0%b6%ad%e0%b7%94%e0%b6%bb%e0%b7%9a-%e0%b7%83%e0%b6%82%e0%b7%80%e0%b6%bb%e0%b7%8a%e0%b6%b0%e0%b6%b1/	si
lk_pmd_press_releases	2025-09-02-si-0f3524	si-0f3524	2025-09-02	උතුරේ පොල් ත්‍රිකෝණය දියත් කිරීමේ සමාරම්භක අවස්ථාව ජනපති…	https://pmd.gov.lk/si/%e0%b6%b4%e0%b7%94%e0%b7%80%e0%b6%ad%e0%b7%8a/%e0%b6%8b%e0%b6%ad%e0%b7%94%e0%b6%bb%e0%b7%9a-%e0%b6%b4%e0%b7%9c%e0%b6%bd%e0%b7%8a-%e0%b6%ad%e0%b7%8a%e0%b6%bb%e0%b7%92%e0%b6%9a%e0%b7%9d%e0%b6%ab%e0%b6%ba-%e0%b6%af%e0%b7%92%e0%b6%ba/	si
lk_pmd_press_releases	2025-09-02-en-eeedbd	en-eeedbd	2025-09-02	First Railway Station Renovation of the “Dream Destination”…	https://pmd.gov.lk/news/first-railway-station-renovation-of-the-dream-destination-programme-begins-in-talpe/	en
lk_pmd_press_releases	2025-09-02-en-c3d210	en-c3d210	2025-09-02	Construction of Vadduvakal Bridge, Mullaitivu Commences under the…	https://pmd.gov.lk/news/construction-of-vadduvakal-bridge-mullaitivu-commences-under-the-patronage-of-the-president/	en
lk_pmd_press_releases	2025-09-02-en-bce82b	en-bce82b	2025-09-02	Launch of the Northern Coconut Triangle under the…	https://pmd.gov.lk/news/launch-of-the-northern-coconut-triangle-under-the-patronage-of-the-president/	en
